SPI,CC,RMSE,POD,FAR,CSI,HSS
3,0.8580067987657556,0.6237593698996984,0.5179584606300224,0.11493748629085326,0.48531428159053186,0.27929005753034597
6,0.8230942914494207,0.7540316442417154,0.5063633844251636,0.08367409922073914,0.4839846774522189,0.2655800293227858
9,0.7419073006359316,0.9393539309726678,0.41704366542439764,0.11883105945763854,0.3948376384460084,0.20747515649214202
12,0.6882501449957444,1.0453083828655583,0.29690156015955027,0.027936962750716332,0.294389560109472,0.1454506084346234
